stage_pcw,stage_label,gene,heart_layer,relative_expression_0to3,key_process,evidence_level,citation
3.5,"3.5 PCW",CDH5,Endocardium,3,"Endocardium is endothelium from specification onward; VE-cadherin/CD144 is the core endothelial adherens-junction protein, pan-endothelial from earliest stages",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
3.5,"3.5 PCW",CDH5,Myocardium,0,"Not expressed in cardiomyocytes (endothelial-specific gene)",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
3.5,"3.5 PCW",CDH5,Epicardium,0,"Epicardium is mesothelium, a distinct lineage from endothelium; no coronary vessels yet",qualitative literature synthesis,"Classical cardiac embryology"
4.5,"4.5 PCW",CDH5,Endocardium,3,"Constitutive high expression lining the looping heart tube",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
4.5,"4.5 PCW",CDH5,Myocardium,0,"Not expressed",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
4.5,"4.5 PCW",CDH5,Epicardium,0,"Proepicardium migrating over myocardium, no vessels yet",qualitative literature synthesis,"Classical cardiac embryology"
5,"5 PCW",CDH5,Endocardium,2,"Onset of EndMT at AV/OFT cushions: Notch-driven Snail1/Snail2 upregulation represses CDH5 in the delaminating subpopulation, transiently lowering aggregate endocardial signal even as the rest of the lining stays high",qualitative literature synthesis,"PMC2776235 Akt promotes Endocardial-Mesenchyme Transition; PMC8041771 Sox7 endocardial cushion formation"
5,"5 PCW",CDH5,Myocardium,0,"Not expressed",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
5,"5 PCW",CDH5,Epicardium,0,"No coronary vessels yet",qualitative literature synthesis,"Classical cardiac embryology"
6.5,"6.5 PCW",CDH5,Endocardium,2,"Trough of the EndMT window: Snail-mediated CDH5 repression peaks in cushion-forming endocardium while the rest of the endothelial monolayer remains CDH5-high, net signal dips from baseline-high",qualitative literature synthesis,"PMC2776235; PMC8041771 Sox7/Wnt4/Bmp2 signaling in AV cushion"
6.5,"6.5 PCW",CDH5,Myocardium,0,"Not expressed",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
6.5,"6.5 PCW",CDH5,Epicardium,1,"Earliest epicardium-derived coronary vasculogenesis beginning to contribute CDH5+ endothelium",qualitative literature synthesis,"Asp et al. 2019 Cell staging context"
9,"9 PCW",CDH5,Endocardium,3,"Cushions largely remodeled into valve primordia; endocardial lining re-establishes high, uniform CDH5 as the epithelial monolayer reseals over the (now mesenchymal) valve interior",qualitative literature synthesis,"PMC2776235; PMC8041771"
9,"9 PCW",CDH5,Myocardium,0,"Not expressed",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
9,"9 PCW",CDH5,Epicardium,1,"Coronary vessel endothelium present within epicardium-derived tissue",qualitative literature synthesis,"Asp et al. 2019 Cell staging context"
12,"12 PCW",CDH5,Endocardium,3,"Sustained high, constitutive endothelial marker",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
12,"12 PCW",CDH5,Myocardium,0,"Not expressed",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
12,"12 PCW",CDH5,Epicardium,1,"Coronary vessel endothelium",qualitative literature synthesis,"Asp et al. 2019 Cell staging context"
20,"20 PCW",CDH5,Endocardium,3,"Sustained high, lifelong endothelial marker (unlike FBN2/FBN3, CDH5 is not developmentally restricted)",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
20,"20 PCW",CDH5,Myocardium,0,"Not expressed",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
20,"20 PCW",CDH5,Epicardium,1,"Coronary vessel endothelium",qualitative literature synthesis,"Asp et al. 2019 Cell staging context"
40,"40 PCW / term-postnatal",CDH5,Endocardium,3,"Sustained high into postnatal/adult life, core endocardial identity marker",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
40,"40 PCW / term-postnatal",CDH5,Myocardium,0,"Not expressed",qualitative literature synthesis,"ScienceDirect Topics: Vascular Endothelial Cadherin overview"
40,"40 PCW / term-postnatal",CDH5,Epicardium,1,"Coronary vessel endothelium",qualitative literature synthesis,"Asp et al. 2019 Cell staging context"
