stage_pcw,stage_label,carnegie_or_period,gene,heart_layer,relative_expression_0to3,key_process,evidence_level,citation
3.5,"3.5 PCW","CS9-10, cardiac crescent/linear heart tube",FBN1,Endocardium,1,"Endocardial tube lined by nascent endothelium; little ECM deposition yet",qualitative literature synthesis,"Classical cardiac embryology; de la Cruz & Markwald cardiac morphogenesis reviews"
3.5,"3.5 PCW","CS9-10, cardiac crescent/linear heart tube",FBN1,Myocardium,1,"Primary myocardium forming",qualitative literature synthesis,"Classical cardiac embryology"
3.5,"3.5 PCW","CS9-10, cardiac crescent/linear heart tube",FBN1,Epicardium,0,"Epicardium not yet formed (proepicardial organ not yet attached)",qualitative literature synthesis,"Classical cardiac embryology"
3.5,"3.5 PCW","CS9-10, cardiac crescent/linear heart tube",FBN2,Endocardium,1,"Co-distributes with FBN1 in early embryonic mesenchyme",qualitative literature synthesis,"PMC10806136 (fibrillin-1 in health & disease); classic FBN1/FBN2 co-immunolocalization studies"
3.5,"3.5 PCW","CS9-10, cardiac crescent/linear heart tube",FBN2,Myocardium,1,"Low, non-specific",qualitative literature synthesis,"PMC10806136"
3.5,"3.5 PCW","CS9-10, cardiac crescent/linear heart tube",FBN2,Epicardium,0,"Not yet formed",qualitative literature synthesis,"Classical cardiac embryology"
3.5,"3.5 PCW","CS9-10, cardiac crescent/linear heart tube",FBN3,Endocardium,0,"Below the 6-12 PCW window where FBN3 is broadly detected",qualitative literature synthesis,"PMID 20970500 Fibrillin-3 expression in human development"
3.5,"3.5 PCW","CS9-10, cardiac crescent/linear heart tube",FBN3,Myocardium,0,"Same as above",qualitative literature synthesis,"PMID 20970500"
3.5,"3.5 PCW","CS9-10, cardiac crescent/linear heart tube",FBN3,Epicardium,0,"Not yet formed",qualitative literature synthesis,"PMID 20970500"
4.5,"4.5 PCW","CS11-13, heart tube looping (Asp et al. Stage 1)",FBN1,Endocardium,1,"Looping heart, endocardium still simple squamous epithelium",qualitative literature synthesis,"Asp et al. 2019 Cell (PMID 31835037) staging scheme"
4.5,"4.5 PCW","CS11-13, heart tube looping (Asp et al. Stage 1)",FBN1,Myocardium,1,"Trabeculation not yet begun",qualitative literature synthesis,"Asp et al. 2019 Cell"
