stage_hpf,stage_label,human_equivalent_pcw,gene,heart_layer,relative_expression_0to3,key_process,evidence_level,citation
24,"24 hpf","3.5-4 PCW",cdh5,Endocardium,3,"CDH5-positive cells migrate toward midline in heart field by ~16 hpf and coalesce into a ring of endocardial precursor cells in the heart cone; CDH5+ endocardium lines the linear/jogging heart tube by 24 hpf",qualitative literature synthesis,"Larson et al. 2004 Dev Dyn (Expression of VE-cadherin in zebrafish embryos: a new tool to evaluate vascular development)"
24,"24 hpf","3.5-4 PCW",cdh5,Myocardium,0,"Not expressed (endothelial-specific)",qualitative literature synthesis,"Larson et al. 2004 Dev Dyn"
48,"48 hpf","4-5 PCW",cdh5,Endocardium,3,"CDH5 expressed throughout the whole heart at 48 hpf, prior to AVC-restricted downregulation",qualitative literature synthesis,"PMC6739419 Biomechanical signaling within developing zebrafish heart (Cdh5/Yap1 endocardial proliferation)"
48,"48 hpf","4-5 PCW",cdh5,Myocardium,0,"Not expressed",qualitative literature synthesis,"Larson et al. 2004 Dev Dyn"
72,"72 hpf (3 dpf)","5-6.5 PCW",cdh5,Endocardium,1,"CDH5 downregulated and restricted in the AVC from 60-72 hpf as endocardial cells there undergo (incomplete) EndoMT to form the cushions, even as the rest of the heart's endothelial lining stays CDH5-high",qualitative literature synthesis,"PMC6982417 Uncovering Molecular/Cellular Mechanisms of Heart Development Using Zebrafish (explicit 48->60-72 hpf CDH5 AVC downregulation); PMC8147271 Zebrafish Cardiac Endothelial Cell"
72,"72 hpf (3 dpf)","5-6.5 PCW",cdh5,Myocardium,0,"Not expressed",qualitative literature synthesis,"Larson et al. 2004 Dev Dyn"
120,"5 dpf","6.5-9 PCW",cdh5,Endocardium,2,"AVC endocardial cushion cells complete incomplete-EndoMT and fold into valve leaflets; CDH5 re-establishing as the folding valve surface re-forms an endothelial-like lining",qualitative literature synthesis,"PMC6739419; elifesciences.org/articles/28939 Heg1/Ccm1/2 endocardial mechanosensitivity during valvulogenesis"
120,"5 dpf","6.5-9 PCW",cdh5,Myocardium,0,"Not expressed",qualitative literature synthesis,"Larson et al. 2004 Dev Dyn"
168,"7 dpf","9-12 PCW",cdh5,Endocardium,3,"Valve leaflets and chamber endocardium largely re-established as continuous CDH5+ lining",qualitative literature synthesis,"PMC8147271 Zebrafish Cardiac Endothelial Cell"
168,"7 dpf","9-12 PCW",cdh5,Myocardium,0,"Not expressed",qualitative literature synthesis,"Larson et al. 2004 Dev Dyn"
216,"9 dpf","9-12 PCW",cdh5,Endocardium,3,"Sustained high, mature endocardial/valve endothelial lining",qualitative literature synthesis,"PMC8147271"
216,"9 dpf","9-12 PCW",cdh5,Myocardium,0,"Not expressed",qualitative literature synthesis,"Larson et al. 2004 Dev Dyn"
720,"30 dpf (juvenile)","fetal-postnatal maturation (>12 PCW)",cdh5,Endocardium,3,"Constitutive high in mature endocardium/vascular endothelium, standard transgenic marker (cdh5:GFP) for endocardial lineage tracing",qualitative literature synthesis,"PMC8147271 Zebrafish Cardiac Endothelial Cell — Roles in Development and Regeneration"
720,"30 dpf (juvenile)","fetal-postnatal maturation (>12 PCW)",cdh5,Myocardium,0,"Not expressed",qualitative literature synthesis,"Larson et al. 2004 Dev Dyn"
