stage_hpf,stage_label,human_equivalent_pcw,gene,heart_layer,relative_expression_0to3,key_process,evidence_level,citation
24,"24 hpf","3.5-4 PCW",fbn1,Endocardium,1,"Linear heart tube just formed, jogging to the left",qualitative literature synthesis,"Bakkers 2011 Cardiovasc Res (PMID region); From Stripes to a Beating Heart review (PMC7916704)"
24,"24 hpf","3.5-4 PCW",fbn1,Myocardium,1,"Primary myocardium differentiating",qualitative literature synthesis,"PMC7916704"
24,"24 hpf","3.5-4 PCW",fbn2,Endocardium,1,"Baseline embryonic expression (qPCR profiled at 1-7 dpf in whole embryo)",qualitative literature synthesis,"Wang et al. 2013 J Cell Sci / PMC3644139"
24,"24 hpf","3.5-4 PCW",fbn2,Myocardium,1,"Baseline",qualitative literature synthesis,"PMC3644139"
24,"24 hpf","3.5-4 PCW",fbn3,Endocardium,1,"Renamed from fbn2b; baseline low expression before valve program begins",qualitative literature synthesis,"2025 bioRxiv Marfan zebrafish model (10.1101/2025.06.21.659830); PMC3644139"
24,"24 hpf","3.5-4 PCW",fbn3,Myocardium,1,"Baseline",qualitative literature synthesis,"PMC3644139"
48,"48 hpf","4-5 PCW",fbn1,Endocardium,1,"Heart tube looping completing",qualitative literature synthesis,"PMC7916704"
48,"48 hpf","4-5 PCW",fbn1,Myocardium,1,"Looping myocardium",qualitative literature synthesis,"PMC7916704"
48,"48 hpf","4-5 PCW",fbn2,Endocardium,1,"Baseline",qualitative literature synthesis,"PMC3644139"
48,"48 hpf","4-5 PCW",fbn2,Myocardium,1,"Baseline",qualitative literature synthesis,"PMC3644139"
48,"48 hpf","4-5 PCW",fbn3,Endocardium,2,"Endocardial Notch signaling (the pathway fbn2b/fbn3-pku300 act through) is first activated in AVC and ventricular endocardium at 48 hpf",qualitative literature synthesis,"Wang et al. 2013 J Cell Sci / PMC3644139 (Genetic interaction between pku300 and fbn2b controls endocardial cell proliferation and valve development)"
48,"48 hpf","4-5 PCW",fbn3,Myocardium,1,"Low",qualitative literature synthesis,"PMC3644139"
72,"72 hpf (3 dpf)","5-6.5 PCW",fbn1,Endocardium,2,"AV canal endocardial cushion forming in parallel; general ECM deposition increasing",qualitative literature synthesis,"PMC3644139; PMC7916704"
72,"72 hpf (3 dpf)","5-6.5 PCW",fbn1,Myocardium,1,"Trabeculation beginning (72-120 hpf window)",qualitative literature synthesis,"PMC7916704 From Stripes to a Beating Heart"
72,"72 hpf (3 dpf)","5-6.5 PCW",fbn2,Endocardium,2,"Baseline to moderate through the qPCR-profiled 1-7 dpf window",qualitative literature synthesis,"PMC3644139"
72,"72 hpf (3 dpf)","5-6.5 PCW",fbn2,Myocardium,1,"Low",qualitative literature synthesis,"PMC3644139"
72,"72 hpf (3 dpf)","5-6.5 PCW",fbn3,Endocardium,3,"Notch signaling concentrates in the AVC at 60-72 hpf; fbn3(fbn2b)/pku300 required for endocardial cell proliferation, adhesion and tight-junction formation during cushion morphogenesis",qualitative literature synthesis,"PMC3644139 (Wang et al. 2013 J Cell Sci)"
72,"72 hpf (3 dpf)","5-6.5 PCW",fbn3,Myocardium,1,"Low",qualitative literature synthesis,"PMC3644139"
120,"5 dpf","6.5-9 PCW",fbn1,Endocardium,2,"Valve leaflet elongation ongoing",qualitative literature synthesis,"PMC4446259 Post-embryonic zebrafish heart maturation"
120,"5 dpf","6.5-9 PCW",fbn1,Myocardium,1,"Ventricular trabeculae maturing",qualitative literature synthesis,"PMC4446259"
120,"5 dpf","6.5-9 PCW",fbn2,Endocardium,2,"Sustained baseline",qualitative literature synthesis,"PMC3644139"
120,"5 dpf","6.5-9 PCW",fbn2,Myocardium,1,"Low",qualitative literature synthesis,"PMC3644139"
120,"5 dpf","6.5-9 PCW",fbn3,Endocardium,3,"In fbn3-/- larvae, progressive endocardial detachment in the atrium and pericardial edema become apparent in this window; endocardial integrity is fbn3-dependent",qualitative literature synthesis,"2025 bioRxiv Systematic disruption of zebrafish fibrillin genes / Marfan model (10.1101/2025.06.21.659830)"
120,"5 dpf","6.5-9 PCW",fbn3,Myocardium,1,"Low",qualitative literature synthesis,"2025 bioRxiv Marfan zebrafish model"
